time_slot,agent,p,pb_dn,pb_up,pr_dn,pr_up,s_dn,s_up,spot_price
106,106,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,107,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,108,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,109,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,110,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,111,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,112,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,113,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,114,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,115,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,116,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,117,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,118,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,119,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,120,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,121,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,122,0.0,22.0,22.0,22.0,22.0,0.0,0.0,537.090027
106,123,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,124,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
106,125,0.0,7.2,7.2,7.2,7.2,0.0,0.0,537.090027
106,126,0.0,11.0,11.0,11.0,11.0,0.0,0.0,537.090027
